dataset,result_file,method,model,variant,top_m,filing_type,n_queries,accuracy_at_1,hit_at_5,mrr_at_5,document_accuracy_at_1,avg_latency_seconds,avg_top1_latency_seconds,avg_top5_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_top1_input_tokens,avg_top1_output_tokens,avg_top1_total_tokens,avg_top5_input_tokens,avg_top5_output_tokens,avg_top5_total_tokens,successful_rows,accuracy_at_1_pct,hit_at_5_pct,mrr_at_5_pct,document_accuracy_at_1_pct
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,10-K,78,0.23076923076923078,0.46153846153846156,0.3055555555555555,0.8461538461538461,0.0005256410256410256,0.0005256410256410256,0.0005256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,23.076923076923077,46.15384615384615,30.555555555555554,84.61538461538461
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,10-Q,12,0.0,0.4166666666666667,0.1597222222222222,0.6666666666666666,0.0005,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,41.66666666666667,15.972222222222221,66.66666666666666
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,8-K,9,0.3333333333333333,0.8888888888888888,0.574074074074074,0.8888888888888888,0.00022222222222222223,0.00022222222222222223,0.00022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,33.33333333333333,88.88888888888889,57.4074074074074,88.88888888888889
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,Earnings Report,12,0.16666666666666666,0.4166666666666667,0.23611111111111113,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,16.666666666666664,41.66666666666667,23.611111111111114,75.0
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,10-K,78,0.21794871794871795,0.4358974358974359,0.29038461538461535,0.8461538461538461,0.0002564102564102564,0.0002564102564102564,0.0002564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,21.794871794871796,43.58974358974359,29.038461538461537,84.61538461538461
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,10-Q,12,0.0,0.5,0.19722222222222222,0.6666666666666666,0.0003333333333333333,0.0003333333333333333,0.0003333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,50.0,19.72222222222222,66.66666666666666
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,8-K,9,0.3333333333333333,0.8888888888888888,0.574074074074074,0.8888888888888888,0.00022222222222222223,0.00022222222222222223,0.00022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,33.33333333333333,88.88888888888889,57.4074074074074,88.88888888888889
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,Earnings Report,12,0.16666666666666666,0.4166666666666667,0.24166666666666667,0.75,8.333333333333333e-05,8.333333333333333e-05,8.333333333333333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,16.666666666666664,41.66666666666667,24.166666666666668,75.0
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,7.0,10-K,78,0.24358974358974358,0.48717948717948717,0.3145299145299145,0.8461538461538461,0.0005384615384615385,0.0005384615384615385,0.0005384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,24.358974358974358,48.717948717948715,31.45299145299145,84.61538461538461
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,7.0,10-Q,12,0.0,0.4166666666666667,0.18055555555555555,0.6666666666666666,0.00025,0.00025,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,41.66666666666667,18.055555555555554,66.66666666666666
