run_timestamp,dataset,pdf_name,pdf_path,output_path,log_path,status,num_pages,raw_pdf_tokens,toc_present,toc_page_index_given,structure_input_tokens,structure_output_tokens,structure_total_tokens,structure_llm_successful_calls,structure_llm_failed_calls,structure_latency_seconds,error,doc_name,num_chunks,total_chunk_tokens,chunk_input_tokens,chunk_output_tokens,chunk_total_tokens,chunk_llm_successful_calls,chunk_llm_failed_calls,chunk_latency_seconds,combined_input_tokens,combined_output_tokens,combined_total_tokens,combined_llm_successful_calls,combined_llm_failed_calls,combined_latency_seconds,structure_total_tokens_per_page,structure_latency_seconds_per_page,structure_llm_calls_per_page,chunk_total_tokens_per_page,chunk_latency_seconds_per_page,chunk_total_tokens_per_chunk,chunk_latency_seconds_per_chunk,combined_total_tokens_per_page,combined_latency_seconds_per_page,combined_total_tokens_per_chunk,combined_latency_seconds_per_chunk
2026-07-24 12:38:09,FinanceBench,BLOCK_2016_10K,data/FinanceBench/BLOCK_2016_10K.pdf,final results\FinanceBench structure\BLOCK_2016_10K_structure.json,data\FinanceBench\logs\BLOCK_2016_10K_20260724_123809.json,success,121,144249,yes,yes,1095378,398332,1493710,510,0,1788.153,,BLOCK_2016_10K,146.0,137154.0,346.0,522.0,868.0,1.0,0.0,14.37,1095724.0,398854.0,1494578.0,511.0,0.0,1802.523,12344.7107,14.7781,4.2149,7.1736,0.1188,5.945205479452055,0.09842465753424658,12351.8843,14.8969,10236.835616438357,12.346047945205479
2026-07-24 13:12:38,FinanceBench,BLOCK_2020_10K,data/FinanceBench/BLOCK_2020_10K.pdf,final results\FinanceBench structure\BLOCK_2020_10K_structure.json,data\FinanceBench\logs\BLOCK_2020_10K_20260724_131238.json,success,158,199261,yes,yes,1391557,491804,1883361,610,0,3095.909,,BLOCK_2020_10K,163.0,201592.0,3780.0,4129.0,7909.0,3.0,0.0,55.25,1395337.0,495933.0,1891270.0,613.0,0.0,3151.159,11920.0063,19.5944,3.8608,50.057,0.3497,48.52147239263804,0.3389570552147239,11970.0633,19.944,11602.883435582822,19.33226380368098
2026-07-24 14:14:28,FinanceBench,BOEING_2018_10K,data/FinanceBench/BOEING_2018_10K.pdf,final results\FinanceBench structure\BOEING_2018_10K_structure.json,data\FinanceBench\logs\BOEING_2018_10K_20260724_141428.json,success,136,95242,yes,yes,413534,212613,626147,230,0,2257.949,,BOEING_2018_10K,61.0,96960.0,481.0,756.0,1237.0,1.0,0.0,16.015,414015.0,213369.0,627384.0,231.0,0.0,2273.964,4604.0221,16.6026,1.6912,9.0956,0.1178,20.278688524590162,0.26254098360655737,4613.1176,16.7203,10284.983606557376,37.27809836065574
2026-07-24 15:15:55,FinanceBench,BOEING_2022_10K,data/FinanceBench/BOEING_2022_10K.pdf,final results\FinanceBench structure\BOEING_2022_10K_structure.json,data\FinanceBench\logs\BOEING_2022_10K_20260724_151555.json,success,190,110787,yes,yes,421252,202599,623851,265,0,970.863,,BOEING_2022_10K,66.0,113796.0,483.0,757.0,1240.0,1.0,0.0,20.972,421735.0,203356.0,625091.0,266.0,0.0,991.835,3283.4263,5.1098,1.3947,6.5263,0.1104,18.78787878787879,0.3177575757575758,3289.9526,5.2202,9471.075757575758,15.027803030303032
2026-07-24 15:33:34,FinanceBench,COCACOLA_2021_10K,data/FinanceBench/COCACOLA_2021_10K.pdf,final results\FinanceBench structure\COCACOLA_2021_10K_structure.json,data\FinanceBench\logs\COCACOLA_2021_10K_20260724_153334.json,success,183,147525,yes,yes,854758,360499,1215257,516,0,1830.454,,COCACOLA_2021_10K,141.0,149214.0,5917.0,5851.0,11768.0,6.0,0.0,84.241,860675.0,366350.0,1227025.0,522.0,0.0,1914.695,6640.7486,10.0025,2.8197,64.306,0.4603,83.46099290780141,0.5974539007092199,6705.0546,10.4628,8702.304964539007,13.579397163120566
2026-08-10 09:10:25,FinanceBench,CORNING_2021_10K,data/FinanceBench/CORNING_2021_10K.pdf,final results\FinanceBench structure\CORNING_2021_10K_structure.json,data\FinanceBench\logs\CORNING_2021_10K_20260810_091025.json,success,125,164011,no,no,1665205,557706,2222911,735,0,1457.831,,CORNING_2021_10K,219.0,163118.0,30846.0,17482.0,48328.0,19.0,0.0,240.696,1696051.0,575188.0,2271239.0,754.0,0.0,1698.527,17783.288,11.6626,5.88,386.624,1.9256,220.675799086758,1.0990684931506849,18169.912,13.5882,10370.954337899544,7.75583105022831
2026-08-10 10:42:54,FinanceBench,CORNING_2022_10K,data/FinanceBench/CORNING_2022_10K.pdf,final results\FinanceBench structure\CORNING_2022_10K_structure.json,data\FinanceBench\logs\CORNING_2022_10K_20260810_104254.json,success,159,107274,no,no,960141,423873,1384014,654,0,1169.864,,CORNING_2022_10K,200.0,106624.0,8007.0,5317.0,13324.0,6.0,0.0,81.851,968148.0,429190.0,1397338.0,660.0,0.0,1251.715,8704.4906,7.3576,4.1132,83.7987,0.5148,66.62,0.409255,8788.2893,7.8724,6986.69,6.258575
2026-08-10 11:04:25,FinanceBench,COSTCO_2021_10K,data/FinanceBench/COSTCO_2021_10K.pdf,final results\FinanceBench structure\COSTCO_2021_10K_structure.json,data\FinanceBench\logs\COSTCO_2021_10K_20260810_110425.json,success,76,47345,yes,yes,191133,94230,285363,132,0,803.292,,COSTCO_2021_10K,27.0,48810.0,0.0,0.0,0.0,0.0,0.0,6.403,191133.0,94230.0,285363.0,132.0,0.0,809.695,3754.7763,10.5696,1.7368,0.0,0.0842,0.0,0.23714814814814814,3754.7763,10.6539,10569.0,29.988703703703706
2026-08-10 11:19:43,FinanceBench,CVSHEALTH_2022_10K,data/FinanceBench/CVSHEALTH_2022_10K.pdf,final results\FinanceBench structure\CVSHEALTH_2022_10K_structure.json,data\FinanceBench\logs\CVSHEALTH_2022_10K_20260810_111943.json,success,213,174693,yes,yes,1375714,580886,1956600,901,0,1998.407,,CVSHEALTH_2022_10K,266.0,178823.0,9404.0,8615.0,18019.0,10.0,0.0,132.474,1385118.0,589501.0,1974619.0,911.0,0.0,2130.881,9185.9155,9.3822,4.23,84.5962,0.6219,67.7406015037594,0.4980225563909774,9270.5117,10.0041,7423.37969924812,8.010830827067668
2026-08-10 16:48:21,FinanceBench,FOOTLOCKER_2022_8K_dated-2022-05-20,data/FinanceBench/FOOTLOCKER_2022_8K_dated-2022-05-20.pdf,final results\FinanceBench structure\FOOTLOCKER_2022_8K_dated-2022-05-20_structure.json,data\FinanceBench\logs\FOOTLOCKER_2022_8K_dated-2022-05-20_20260810_164821.json,success,4,1834,no,no,14581,13266,27847,23,0,114.81,,FOOTLOCKER_2022_8K_dated-2022-05-20,5.0,1806.0,0.0,0.0,0.0,0.0,0.0,0.697,14581.0,13266.0,27847.0,23.0,0.0,115.507,6961.75,28.7025,5.75,0.0,0.1742,0.0,0.1394,6961.75,28.8768,5569.4,23.1014
