dataset,result_file,method,model,variant,top_m,bank,n_queries,accuracy_at_1,hit_at_5,mrr_at_5,document_accuracy_at_1,avg_latency_seconds,avg_top1_latency_seconds,avg_top5_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_top1_input_tokens,avg_top1_output_tokens,avg_top1_total_tokens,avg_top5_input_tokens,avg_top5_output_tokens,avg_top5_total_tokens,successful_rows,accuracy_at_1_pct,hit_at_5_pct,mrr_at_5_pct,document_accuracy_at_1_pct
ESRS,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,Swedbank,85,0.611764705882353,0.8470588235294118,0.7111764705882353,0.9529411764705882,0.003058823529411765,0.003058823529411765,0.003058823529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,61.1764705882353,84.70588235294117,71.11764705882354,95.29411764705881
ESRS,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,UniCredit,37,0.5945945945945946,0.7837837837837838,0.6711711711711711,0.972972972972973,0.0031081081081081085,0.0031081081081081085,0.0031081081081081085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,59.45945945945946,78.37837837837837,67.1171171171171,97.2972972972973
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,ABN Amro,53,0.4528301886792453,0.7169811320754716,0.5619496855345911,1.0,0.0001509433962264151,0.0001509433962264151,0.0001509433962264151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,45.28301886792453,71.69811320754717,56.19496855345911,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,BBVA,3,0.6666666666666666,1.0,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,66.66666666666666,100.0,83.33333333333334,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,BNP Paribas,13,0.8461538461538461,0.9230769230769231,0.8717948717948718,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,84.61538461538461,92.3076923076923,87.17948717948718,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Banca Monte dei Paschi di Siena,78,0.1794871794871795,0.4358974358974359,0.27371794871794874,1.0,0.0001666666666666667,0.0001666666666666667,0.0001666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,17.94871794871795,43.58974358974359,27.371794871794876,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Banque Postale,95,0.3894736842105263,0.6421052631578947,0.4898245614035088,0.9894736842105263,0.0003894736842105263,0.0003894736842105263,0.0003894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,38.94736842105263,64.21052631578948,48.98245614035088,98.94736842105263
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Belfius,33,0.2727272727272727,0.5151515151515151,0.37626262626262624,1.0,6.0606060606060605e-05,6.0606060606060605e-05,6.0606060606060605e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,27.27272727272727,51.515151515151516,37.62626262626262,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Caixa Geral de Depósitos,3,0.0,0.6666666666666666,0.25,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,66.66666666666666,25.0,66.66666666666666
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,CaixaBank,32,0.46875,0.6875,0.5625,1.0,9.375e-05,9.375e-05,9.375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,46.875,68.75,56.25,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,DNB,50,0.42,0.56,0.485,0.84,0.00016,0.00016,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,42.0,56.00000000000001,48.5,84.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Deutsche Bank,13,0.5384615384615384,0.6923076923076923,0.6153846153846154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,53.84615384615385,69.23076923076923,61.53846153846154,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,ING,46,0.5652173913043478,0.717391304347826,0.6072463768115942,0.9782608695652174,2.173913043478261e-05,2.173913043478261e-05,2.173913043478261e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,56.52173913043478,71.73913043478261,60.72463768115942,97.82608695652173
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Intesa Sanpaolo,106,0.20754716981132076,0.33962264150943394,0.26572327044025157,1.0,0.00024528301886792453,0.00024528301886792453,0.00024528301886792453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,20.754716981132077,33.9622641509434,26.572327044025158,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,KBC Group,32,0.625,0.78125,0.6901041666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,62.5,78.125,69.01041666666666,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,KfW,24,0.4583333333333333,0.6666666666666666,0.5625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,45.83333333333333,66.66666666666666,56.25,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Nordea Bank,21,0.42857142857142855,0.6190476190476191,0.4920634920634921,1.0,9.523809523809524e-05,9.523809523809524e-05,9.523809523809524e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,42.857142857142854,61.904761904761905,49.20634920634921,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,OTP Bank,79,0.26582278481012656,0.620253164556962,0.39261603375527426,1.0,5.0632911392405066e-05,5.0632911392405066e-05,5.0632911392405066e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,26.582278481012654,62.0253164556962,39.26160337552743,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,PKO Bank Polski,36,0.5277777777777778,0.8333333333333334,0.6666666666666666,1.0,5.555555555555556e-05,5.555555555555556e-05,5.555555555555556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,52.77777777777778,83.33333333333334,66.66666666666666,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Pekao,32,0.28125,0.375,0.3203125,0.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,28.125,37.5,32.03125,59.375
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Raiffeisen Bank International,83,0.2891566265060241,0.46987951807228917,0.364859437751004,1.0,0.0004337349397590362,0.0004337349397590362,0.0004337349397590362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,28.915662650602407,46.98795180722892,36.4859437751004,100.0
